Id,Title,Body,Tags
561,What are creative ways to unblock a development team?,"<p>The setting: Multiple development teams, lots of dependencies and constraints. 
<p>
If one team is blocked on developing some code, getting service calls, or moving to a QA environment, what are ways for teams to creatively look for work-arounds to their issues?
<p></p>
",development-process qa quality
562,Internet Explorer multiple classes,"<p>I have a link on my page which looks like:</p>

<pre><code>&lt;a href=""www.wherever.com"" class=""tour-register id-tour-button""&gt;&lt;/a&gt;
</code></pre>

<p>and my css reads:</p>

<pre><code>.id-tour-button { display: inline-block; position:relative; z-index: 10; }
a.tour-register { background: transparent url(../img/register.png) no-repeat; width: 133px; height: 23px; }
</code></pre>

<p>This works perfectly in firefox, but in IE the link disappears, and inspection using IETester has shown that the element isn't using the second line for its styling at all.  What's wrong with what I've done?</p>
",css internet-explorer class
563,Overlay two bitmaps and rub out the top one,"<p>I'm having trouble trying to create a screen where I have two bitmaps (one on top of the other so it's totally obscuring the lower one) and ""rub out"" the top one so it reveals the bottom one under the path of the finger. I realise I may need 3 separate layers (bottom image, top image and then a custom view that handles the finger tracking) but I can't find a method of manipulating the middle layer from the custom view. Can anyone offer some advice on how I might do this? </p>
",android image-processing bitmap
564,Bash: delete first line of stdin,"<p>I've created a script for account creation that reads from a csv file, i do not need the first line in the csv as it has the titles for the colums, im trying to delete the first line using sed 1d $file, but it doesnt seem to work.</p>

<pre><code>#!/bin/bash

FILE=""applicants.csv""

sed 1d $FILE |while IFS=: read USERNAME PASSWORD SCHOOL PROGRAM STATUS; do

#------------------------------------------
groupadd -f $SCHOOL
useradd $USERNAME -p $PASSWORD -g $SCHOOL
if [ $? == 0 ]; then 
echo
echo ""Success! $USERNAME created""
grep $USERNAME /etc/passwd
echo
#------------------------------------------

else
echo ""Failed to create account for $USERNAME""
fi

done &lt; $FILE
</code></pre>

<p>here is the csv file </p>

<pre><code>Full Name:DOB:School:Program:Status
JoseDavid:22-08-86:ACE:Bsc Computing:Unfinished
YasinAhmed:22-07-85:ACE:Bsc Networking:Complete
MohammedAli:21-04-84:ACE:Bsc Forensics:Complete
UtahKing:22-09-84:ACE:BSC IT:Unfinished
UsmanNaeem:21-09-75:ACE:BSC Computing:Complete
</code></pre>

<p>Here is a screenshot of the output
<a href=""http://i.stack.imgur.com/R5zPN.jpg"" rel=""nofollow"">http://i.stack.imgur.com/R5zPN.jpg</a></p>

<p>is there anyway to skip the first line? </p>
",bash account creation
565,"java, mysql compare and edit values","<p>I`m building a decision support system in java. Below is a part of code, that scans the search word that is typed in by user, then compares it with database searchlog.searchcolumn values and if the word is not there creates a new entry. BUT in the if statement i want it to check for the entry, and if it IS already in searchlog.searchcolumn column, then I want it  NOT to create a new duplicate entry, but to add +1 value to searchlog.counter column for the specific word.
for example if search word is ""UMBRELLA"" and there is already one entry for umbrella in database, i want it to add +1 to counter column in UMBRELLA row.</p>

<p>the purpose of this, is to store all searchwords and keep a track of the most popular ones.
Thank you for your time
        String CheckSearch = ""SELECTsearchcolumn FROMsearchlog"";</p>

<pre><code>String InsertColumn = ""INSERT INTO `mydb`.`searchlog` (`searchcolumn`) VALUES ('""+ InputScanner + ""'); 
         //
if (InputScanner.equals(CheckSearch)) 
   System.out.println(""value ealready exist, counter well be updated""); 
else
   stmt.executeUpdate(InsertColumn); 
</code></pre>

<p><strong>EDIT</strong>
Thank you for advice of using PreparedStatement, but this is my first more or less serious challenge and for this time, let`s just ignore vulnerability of my code. Thanks</p>
",java mysql comparison
566,Something wrong in making <object> tag revisable,"<p>In my webApp when a user clicks on an 'Open video' button, a <code>&lt;div&gt;</code> becomes visible which contains an <code>&lt;object&gt;</code> tag that displays an '.flv' file. It also has a close button which hides the <code>&lt;div&gt;</code> and removes <code>&lt;object&gt;</code> tag (which is added dynamically).</p>

<p>But when I again click on a that 'Open video' button, the controls of the player do not appear correctly, the video has some problems and I can hear only voices.</p>

<p>But when I clear the history, refresh the page and open it again, it works properly.</p>

<p>What is wrong here? Can anybody help me please.</p>
",javascript jquery html
567,How the game will search for other online users and will display the list of all users?,"<p>I am asking this question as a small part of my question series regarding game programming .</p>

<p>Refer <a href=""http://stackoverflow.com/questions/3131780/multiplayer-game-in-iphone-concept-strategy-design"">this</a> question as the main one .</p>

<p>Now suppose I want to develop one small board game on iphone that is multiplayer . so how it will handle how many users are online and displaying them .</p>

<p>Suppose it is an online multiplayer casino game .</p>

<p>Then suppose it have to show currently playing tables and users on them .</p>

<p>So what can we do in iphone to do this sort of thing .</p>

<p>Thanks .</p>
",iphone
568,What is the best Facebook / Twitter SSO framework,"<p>I have a website where I want users to be able to leave reviews and rate products.  I want some sort of SSO based system where they can use existing facebook / twitter accounts to ""sign in"".  It is essential that I am able to uniquely identify them once they have so that they cannot rate products more than once etc.</p>

<p>What is the best system to use?</p>

<p>The requirements are:</p>

<ol>
<li>Easy to implement</li>
<li>Lightweight</li>
<li>Facebook / Twitter integration</li>
<li>Ability to uniquely identify users
once they are signed on and possibly retrieve basic information such as First name and initial etc</li>
</ol>
",javascript jquery html sso
569,"Given PSPACE $\ne$ EXP, is there a non-PSPACE-hard language in EXP - PSPACE?","<p>Let me state the problem again:</p>

<blockquote>
  <p>Suppose PSPACE $\ne$ EXP. Is there a language in EXP - PSPACE that is not PSPACE-hard?</p>
</blockquote>

<p><strong>Context</strong></p>

<p>I have a problem that's in EXP. Currently I don't think it's in PSPACE. Besides proving it's EXP-complete, what else can I do? Since it seem not to be in PSPACE, I start to think it's PSPACE-hard. But is this necessary? That's why I asked this question.</p>

<p>Actually I have a related question, that is, given PSPACE $\ne$ EXP, whether there is a language in EXP - PSPACE that is not EXP-hard. A yes answer to the main question will imply a yes answer to this question. I think answering this question will also help me somehow.</p>
",cc.complexity-theory complexity-classes
570,a html layout problem,"<p>I want to make a html layout,this is the image:
<img src=""http://i.stack.imgur.com/YKme5.png"" alt=""enter image description here""></p>

<p>The whole page contain the divs:</p>

<pre><code>Head
left
main01
main02
</code></pre>

<p>And the control div:</p>

<pre><code>toogle_bar1
toogle_bar2
</code></pre>

<p>Now I want to make the following effect:</p>

<p>1) The <code>head</code> take a specified height of the browser(for example 50px),and take 100% width of the browser.
2) And by default,the <code>main02</code> is not visible,so the <code>main01</code> div take the same height of the <code>left</code> and take the left width.</p>

<p>3) When the <code>toggle_bar1</code> clicked,the <code>left</code> should be hide/shown,once it is not visible,the <code>main01</code> (and <code>main02</code> if <code>main02</code> is visible) will take all the width of the browser.</p>

<p>4) When <code>toggle_bar2</code> clicked,the <code>main02</code> should be hidden/shown,once it is visible,it will take the same width as <code>main01</code>.</p>

<p>5) the <code>main01</code> and <code>main02</code> should have a explictly width and height property.
6) The scroll bar can not be visible anyway when the window resize.</p>

<p>In fact,I can make it using the javascript,but I wonder If I can make it using the pure css(of course the js is need to handle the click event)?</p>

<p>Since now I use the js,when the <code>toggle_bar1</code> clicked,I set the <code>left</code> to ""display:none"",then caculate the clientwidth,and set the width of the <code>main01</code>(or/and <code>main02</code>),I wonder if this can be caculated by the browser?</p>

<p>I always think that we should avoid do the extra position cacualte work if they can be done by the browser.</p>

<p>Any ideas?</p>
",javascript html css
571,How to backup and restore ESXi 4 settings?,"<p>How can I backup all settings of free VMWare ESXi 4?</p>

<p>I configured the host - VMs, Storage, Networking, Resource Allocation and all other settings available in vSphere Client. It consumed quite a lot of time, but works pretty well.</p>

<p>Now I want to backup all the settings ""just in case"" to easily reinstall ESXi 4 if something goes really wrong.</p>

<p>I don't ask ""how to backup VMs"" (so please don't point me to Ghetto-VCB script). I need to backup and restore just ESXi4 host's <b>settings</b>.</p>
",backup vmware-esxi settings
572,Oracle local database product (like MS Access),"<p>Is there a Oracle, local database product (which I can run on my laptop like MS Access) which is free for developers, and in which I can Create tables, Load data from file, Run SQL (oracle's syntax) using Toad.
Basically a local sandbox for me to try out stuff without worrying about network or admin.</p>

<p>Thanks,
Kiran</p>
",database microsoft-access sql oracle
573,AVAudioPlayer sound files playing out of sync when mixed - iPhone,"<p>I am trying to play 6 seperate .mp3 sound files using instances of AVAudioPlayer.
The sounds are playing at the same time but they seem to be playing out of sync or 
at slightly different speeds. Does anyone know why this may be?</p>

<p>Here is how I initialize a sound:</p>

<pre><code> NSURL *musicurl = [[NSURL alloc] initFileURLWithPath:[[NSBundle mainBundle] pathForResource: @""SoundLoop"" ofType: @""mp3""]];
music = [[AVAudioPlayer alloc] initWithContentsOfURL: musicurl error: nil];
[musicurl release];
music.numberOfLoops = -1; // Loop indefinately
music.currentTime = 0; // start at beginning
music.volume = 1.0;
music.meteringEnabled = YES;
</code></pre>

<p>and here is my AudioSession code:</p>

<pre><code>AVAudioSession *audioSession = [AVAudioSession sharedInstance];
audioSession.delegate = self;
[[AVAudioSession sharedInstance] setCategory:AVAudioSessionCategoryPlayback error:nil];     
[[AVAudioSession sharedInstance] setPreferredHardwareSampleRate:44100 error:nil];
[[AVAudioSession sharedInstance] setPreferredIOBufferDuration:30 error:nil];

UInt32 sessionCategory = kAudioSessionCategory_MediaPlayback;
Float32 hardvol = 1.0;
AudioSessionSetProperty(kAudioSessionProperty_AudioCategory, sizeof(sessionCategory), &amp;sessionCategory);
AudioSessionSetProperty(kAudioSessionProperty_CurrentHardwareOutputVolume, sizeof(hardvol), &amp;hardvol);
UInt32 doSetProperty = 1;
AudioSessionSetProperty(kAudioSessionProperty_OverrideCategoryMixWithOthers, sizeof(doSetProperty), &amp;doSetProperty);
[[AVAudioSession sharedInstance] setActive:YES error: nil]; 
</code></pre>

<p>Could it possibly have anything to do with the bit rates of the sounds? or that I am using .mp3?</p>

<p>Thanks.</p>
",iphone audio avaudioplayer mixing
574,Different ways to enter the kernel mode from the user mode?Is NETLINK Socket one of them ?How?,"<p>IS <strong>NETLINK</strong> Socket be used to enter the kernel mode from the user mode.How can we implement the system call functionality using the NETLINK Socket as both jumps from the user mode to kernel mode?IMHO if at all it is possible?.
RGds,
Softy</p>
",sockets operating-system linux-kernel netlink
575,TypeScript or JavaScript for noob web developer,"<p>Following the recent release by Microsoft of <a href=""http://www.typescriptlang.org/"" rel=""nofollow"">TypeScript</a> I was wondering if this is something that should be considered for a experienced WinForm and XAML developer looking to get into more web development.</p>

<p>From reviewing a number of sites and videos online it appears that the type system for TypeScript makes more sense to me as a thick client developer than the dynamic type system in Javascript.</p>

<p>I understand that Typescript compiles down to JavaScript but it appears that the learning curve is shallower due to the current tooling provided by Microsoft.</p>

<p>What are your thoughts?</p>
",.net javascript typescript
576,Ubuntu: Configuring grub2 on a backup disk,"<p>I'm running Ubuntu 10.04, and planning to upgrade. Before I do, though, I want to make sure my backup/restore processes work. My backups, of course, have been running since I first installed 10.04, but it's only a restore that can demonstrate that they have been running successfully.</p>

<p>And I've found a problem. I don't know how to get grub2 configured correctly, on the restored disk.</p>

<p>Currently, my running system is on /dev/sda, with /boot on /dev/sda1 and / on /dev/mapper/desktop-root. (I'm using logical volumes.) This configuration has been running successfully for several years.</p>

<p>My restore is on /dev/sdb, with /boot on /dev/sdb1 and / on /dev/mapper/desktop2-root.</p>

<p>All of the files have been restored, and /etc/fstab has been edited, on the restored drive, to reflect the changed logical volume name and the new UUID for /boot.</p>

<p>But I only have grub installed on /dev/sda, so /dev/sdb is not bootable.</p>

<p>I'm not looking to do anything fancy. I'm not trying to dual boot, I just want to be able to boot from /dev/sdb, using /dev/sdb1 as /boot, and /dev/mapper/desktop2-root as /. In other words, I want to do to /dev/sdb exactly what running update-grub would do to /dev/sda, when I was booted off of /dev/sda.</p>

<p>Any ideas?</p>
",ubuntu grub2
577,IBM DB2 recreate index on truncated table,"<p>After truncating table, and inserting new values in table, auto-increment values are not set to started value 1. When inserting new values it's remember last index-ed value of autoincrement.</p>

<h2>Colum in table named: <code>ID</code></h2>

<p>Index: <code>PRIMARY</code>, </p>

<p>Initial Value:  <code>1</code></p>

<p>Cache size: <code>1</code></p>

<p>Increment: <code>1</code></p>

<p>[<em>checked on IBM DB2 Control Center</em>]</p>

<p><strong>This query:</strong></p>

<pre><code>TRUNCATE TABLE "".$this-&gt;_schema.$table."" DROP STORAGE IGNORE DELETE TRIGGERS IMMEDIATE
</code></pre>

<p>table is EMPTY. </p>

<p>After INSERT NEW VALUES example: <code>INSERT INTO DB2INST1.db (val) VALUES ('abc')</code> it's INSERT with LAST</p>

<pre><code>ID | val

55 | abc
</code></pre>

<p>But it SHOULD BE:</p>

<pre><code>ID | val

1  | abc
</code></pre>
",query table db2 reindex
578,Code Sign error: The identity 'iPhone Developer: xxx (zzz)' doesn't match any valid certificate/private key pair in the default keychain,"<p>Please help, I've spent 4 hours deleting and re-creating keys and provisioning profiles, trying to get my iOS 5 app to build in xcode for deployment to ipads. I'm using in-house distribution. A few months ago I went through all the same hell but finally got it working. Trying everything I tried before, it just doesn't work now. I'm getting this error in xcode: ""Code Sign error: The identity 'iPhone Developer: xxx (zzz)' doesn't match any valid certificate/private key pair in the default keychain"".</p>

<p>Everything appears correct in Keychain Access and Xcode. In Xcode it shows my Provisioning Profile as Valid. </p>

<p>I have gone through all the steps (multiple times) here: <a href=""http://stackoverflow.com/questions/999313/iphone-app-signing-a-valid-signing-identity-matching-this-profile-could-not-be"">iPhone app signing: A valid signing identity matching this profile could not be found in your keychain</a></p>

<p>I have deleted all keys and profiles, created all new, created new App IDs (I have a ton of these now that I can't delete). I've been through numerous online articles and they all say to try the same thing: delete, re-create, and reinstall keys and profiles. That's just not working for me.</p>

<p>Please help, I'm at wits end.</p>
",ipad ios5 apple ios-simulator
579,mysql error: Unknown column 'thread.threadid' in 'on clause',"<p>I'm getting the following error...</p>

<pre><code>ERROR:
mysql error: Unknown column 'thread.threadid' in 'on clause'
</code></pre>

<p>I hear it has something to do with the MySQL version... what changes do I need to make to my PHP code to get passed this error?   I read that This error arises because the comma operator was used in the SELECT query. This query was not designed to work under the new MySQL 5 strict query parser, which treats commas as lower precedence than joins.</p>

<pre><code>Database error in vBulletin 3.0.7:

Invalid SQL: 
    SELECT thread.threadid, thread.forumid
    FROM thread AS thread, subscribethread AS subscribethread
    LEFT JOIN deletionlog AS deletionlog ON(deletionlog.primaryid = thread.threadid AND type = 'thread')
    WHERE subscribethread.threadid = thread.threadid
    AND subscribethread.userid = 1
    AND thread.visible = 1
    AND lastpost &gt; 1277054898
    AND deletionlog.primaryid IS NULL

mysql error: Unknown column 'thread.threadid' in 'on clause'

mysql error number: 1054
</code></pre>

<p>Can I simply take out the comma in the SELECT thread.threadid, thread.forumid?</p>

<p>Please explain... </p>
",mysql vbulletin mysql-error-1054
580,Capistrano Multiple Servers: How to refer to current server during deploy?,"<p>Some background, I am capistrino running 2.9.0 and capistrano-ext 1.2.1.  Multistage deployment is working as expected.  As is adding arrays of server to the roles.</p>

<pre><code>INSTANCES = [""this.server.com"", ""that.server.com""]
role(:web) {INSTANCES}  
</code></pre>

<p>I've been trying to make :deploy_to produced a path based on the name of the server being deployed, like so:  </p>

<pre><code>set :deploy_to, lambda { ""/var/www/application/$HOSTNAME"" }
</code></pre>

<p>This is working pretty well, except this.server.com and that.server.com are actually the same host.  In this example, instead of having two deploy folders based off the server names defined in my deploy/stage.rb file, it just produces the one /var/www/application/server.com/</p>

<p>I've been digging around looking for a way to either inject this at the capistrano level or reference a shell variable that would retain these details.  It seems like needing to host an application server with multiple instances of an app would be common.    </p>

<p>What I really need is:</p>

<pre><code>set :deploy_to, lambda { ""/var/www/application/$SERVER_NAME_CAP_IS_USING"" }
</code></pre>
",capistrano
581,What's the best way to parse a definition list using XPath?,"<p>I'm using Python + xPath to parse some HTML but I'm having trouble parsing an definition list. An example  would be as follows:</p>

<p><code>&lt;dl&gt;<br>
    &lt;dt&gt;Section One&lt;/dt&gt;<br>
    &lt;dd&gt;Child one&lt;/dd&gt;<br>
    &lt;dd&gt;Child one.2&lt;/dd&gt;<br>
    &lt;dt&gt;Section Two&lt;/dt&gt;<br>
    &lt;dd&gt;Child two&lt;/dd&gt;<br>
&lt;/dl&gt;</code></p>

<p>I want to transform this into an output like:<br>
<code>{'Section One' : ['Child one','Child one.2'], 'Section Two' : ['Child two']}</code></p>

<p>I having difficulty though because the way the  is structured, there's not that same hierarchy you find in the output.</p>

<p>Thanks</p>
",python xslt xpath
582,Perl: adding a string to $_ is producing strange results,"<p>I wrote a super simple script:</p>

<pre><code> #!/usr/bin/perl -w
 use strict;
 open (F, ""&lt;ids.txt"") || die ""fail: $!\n"";
 my @ids = &lt;F&gt;;
 foreach my $string (@ids) {
 chomp($string);
 print ""$string\n"";
 }
 close F;
</code></pre>

<p>This is producing an expected output of all the contents of ids.txt:</p>

<p>hello</p>

<p>world</p>

<p>these</p>

<p>annoying</p>

<p>sourcecode</p>

<p>lines</p>

<p>Now I want to add a file-extension: .txt for every line. This line should do the trick:</p>

<pre><code> #!/usr/bin/perl -w
 use strict;
 open (F, ""&lt;ids.txt"") || die ""fail: $!\n"";
 my @ids = &lt;F&gt;;
 foreach my $string (@ids) {
 chomp($string);
 $string .= "".txt"";
 print ""$string\n"";
 }
 close F;
</code></pre>

<p>But the result is as follows:</p>

<p>.txto</p>

<p>.txtd</p>

<p>.txte</p>

<p>.txtying</p>

<p>.txtcecode</p>

<p>Instead of appending "".txt"" to my lines, the first 4 letters of my string will be replaced by "".txt"" Since I want to check if some files exist, I need the full filename with extension.</p>

<p>I have tried to chop, chomp, to substitute (s/\n//), joins and whatever. But the result is still a replacement instead of an append.</p>

<p>Where is the mistake?</p>
",string perl
583,How to access extra parameters in json file in extjs4?,"<p>i am working in extjs4 MVC plus yii framework.I am getting stuck at a point which is how to access extra parameters in jason file coming from server and handle it to client side in extjs4.
My code:-
1) My json file is:--</p>

<pre><code>{
    'users': [
        {
            ""userId"": 1,
            ""userName"": 'Who will win the series11111111?',
            ""message"":""You are welcome"",
        }
    ]
}       
</code></pre>

<p>2) My userModel class in extjs4 :--
In this file there is no any 'message' attribute available.</p>

<pre><code>Ext.define('Balaee.model.sn.UserModel',{

extend: 'Ext.data.Model',

fields: ['userId','userName','password'],
proxy:
{
    type:'ajax',
    api:
    {
        read:'http://localhost/balaee/Balaee/index.php?r=SocialNetworking/user/AuthenticateLogin',
        create:'http://localhost/balaee/Balaee/index.php?r=SocialNetworking/user/AuthenticateLogin',
    },//end of api
    reader:
    {
        type:'json',
        root:'users'
    },//end of reader
    writer:
    {
        type:'json',
        root:'records',
    },//End of writer
}//end of proxy
});
</code></pre>

<p>3)And here is my view file where I am going to access userName and message fields coming from json file.</p>

<pre><code>Ext.define('Balaee.view...',
        {
                extend:'Ext.view.View',
                store:'kp.UserStore',
                config:
                {
                    tpl:'&lt;tpl for="".""&gt;'+
                        '&lt;div id=""main""&gt;'+
                        '&lt;/br&gt;'+
                        '&lt;b&gt;userName :-&lt;/b&gt; {userName}&lt;/br&gt;'+
                        '&lt;b&gt;message :-&lt;/b&gt; {message}&lt;/br&gt;'+
                        '&lt;/div&gt;'+
                        '&lt;/tpl&gt;',
                    itemSelector:'div.main',    
                }
        });// End of login class
</code></pre>

<p>But its not working.It  display userName field value but not displaying message field value.</p>

<p>Actually I want to access a message field which is not persent in model class in extjs4. Is it correct to access to this type of fields having no any relationship? How can I access this type of fields. Please give me some suggestions. </p>
",json extjs yii
584,I cannot get strpos to work with newline,"<p>I am very new to php and cannot find out how to fix this. I have a form and want to pass some string to it and have it checked with another file. It is working fine if all the strings are on the same line but as soon as I put in multiple lines of string, it will fail.</p>

<p>I have a php file with the following code:</p>

<pre><code>&lt;?php
echo ""&lt;center&gt;&lt;form method='post' enctype='multipart/form-data'&gt;"";
echo ""&lt;b&gt;&lt;/b&gt;&lt;textarea name='texttofind' cols='80' rows='10'&gt;&lt;/textarea&gt;&lt;br&gt;"";
echo ""&lt;input name='submit' type='submit' style='width:80px' value='Run' /&gt;"";
echo ""&lt;/form&gt;&lt;/center&gt;"";

$texttofind = $_POST['texttofind'];
if(get_magic_quotes_gpc()) {
    $texttofind = stripslashes($texttofind);
}
$texttofind = html_entity_decode($texttofind);
$s = file_get_contents (""/home/xxxxx/public_html/abc.txt"");
if (strpos ($s, $texttofind) === false) {
    echo ""not found"";
}
else
    echo ""found"";
?&gt;
</code></pre>

<p>and in abc.txt, I have</p>

<pre><code>dog  
cat  
rat
</code></pre>

<p>Whenever, I open the php page and type in just dog or cat, it will be fine and show <code>'found'</code> message but when I type multiple lines like 'dog<code>&lt;enter on keyboard&gt;</code>cat' and click submit button, it will return with the <code>'not found'</code> message. </p>

<p>What is wrong with the code or anyway to adapt it so that it will be able to search multiple lines?</p>

<p>Thank you in advance.</p>
",php newline strpos
585,Getting humiliated by your senior programmer,"<p>As a junior, what would you think and do if you getting humiliated by your lead programmer if you can't handle his expectations ?</p>
",jobs co-workers
586,Using a third party plugin with Yii,"<p>i am using a third party plugin with yii, it provides chat functionality, it has its own DB and php files that provide the functionality, </p>

<p>now i am want to use it in the view, but the simple include statements are not working, do i need to convert it to yii or can i use it as is?</p>

<pre><code>&lt;?php

session_start();

// Load MySQL DB settings
include_once('config.inc.php');

$_SESSION['username'] = 'Currently logged in users's username from database';
$_SESSION['user_id'] = 'Currently logged in user's id';

?&gt;

//That's it! To print online users, you need to do it like this:

&lt;?php
$users = mysql_query(""SELECT id,username FROM "".$sql_table_users."" WHERE chat_status='online' AND id!='"".$_SESSION['user_id'].""'"");
if(mysql_num_rows($users) &gt; 0){
    while($user = mysql_fetch_assoc($users)){
        print '&lt;a href=""#"" alt=""'.$user['id'].'|'.$user['username'].'"" class=""chat_user""&gt;'.$user['username'].'&lt;/a&gt;&lt;br /&gt;';
    }
}
?&gt;
</code></pre>

<p>this is the interface plugin has provided for me. 
plugin location is /assets/plugin.</p>

<p>i cant use direct php query commands to another Database, which i want to keep seperate from mine, plus the js file that comes with the plugin calls the script with wrong URL parameters, so what is the best method to incorperate this into my yii app. thanks</p>
",yii
587,ruby on rails multiple file upload as of GMail using javascript or jQuery,"<p>I have worked for single upload it is working fine. I need an output to upload multiple files as it is in gmail with check box and one browser button.</p>

<pre><code>&lt;%= file_field 'upload', 'attachfile',:onchange=&gt;""addRemoveFile();""%&gt;
&lt;div id=""moreUploadsLink""&gt;
   &lt;%= link_to ""Attach another File"", 'javascript:addElement()'%&gt; 
&lt;/div&gt;
&lt;%= hidden_field_tag 'theValue', '0'%&gt;
&lt;div id=""myDiv""&gt;  &lt;/div&gt;

function addElement() {
    var ni = document.getElementById('myDiv');
    var numi = document.getElementById('theValue');
    var num = (document.getElementById('theValue').value -1)+ 2;
    numi.value = num;
    var newdiv = document.createElement('div');
    var divIdName = 'my'+num+'Div';
    newdiv.setAttribute('id',divIdName);
    newdiv.innerHTML = '&lt;input type=""file"" name=""upload"" id=""attachfile""/&gt;&lt;a href=""#"" onclick=""removeElement(' + divIdName + ')""&gt;Remove &lt;/a&gt;';
    ni.appendChild(newdiv);
    var fileInput = document.getElementById('attachfile');

    var files = fileInput.files;
    var file;

    for (var i = 0; i &lt; files.length; i++) {

        file = files.item(i);
        //or
        file = files[i];

        document.getElementById(""attachfile"").value = file;
    }
}
</code></pre>
",javascript ruby-on-rails
